,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
126,,2022-7-24 2:55 pmJul 24,mattlnec,,,9 miles,756 ft
127,,2022-7-24 1:31 pmJul 24,jpete24,,,7 miles,494 ft
128,,2022-7-23 4:05 pmJul 23,sudocrushms,,,4 miles,349 ft
129,,2022-7-23 2:58 pmJul 23,cjammiller,,,7 miles,552 ft
130,,2022-7-23 2:53 pmJul 23,meithkiller,,,7 miles,554 ft
131,,2022-7-22 4:57 pmJul 22,sudocrushms,,,3 miles,196 ft
132,,2022-7-22 3:12 pmJul 22,Lyonca12,,,11 miles,856 ft
133,,2022-7-21 10:49 pmJul 21,toadiesforcody,,,7 miles,601 ft
134,,2022-7-21 2:21 pmJul 21,ccengland,,,7 miles,197 ft
135,,2022-7-20 12:25 amJul 20,vitaliykondratyuk,,,5 miles,389 ft
136,,2022-7-19 1:25 amJul 19,gfedz,,,2 miles,87 ft
137,,2022-7-17 2:42 pmJul 17,violed23,,,4 miles,270 ft
138,,2022-7-17 10:13 amJul 17,BradHaugen,,,4 miles,311 ft
139,,2022-7-16 8:30 pmJul 16,guaranlam,,,5 miles,303 ft
140,,2022-7-16 5:17 pmJul 16,randomlad,,,9 miles,755 ft
141,,2022-7-13 9:16 pmJul 13,sudocrushms,,,4 miles,381 ft
142,,2022-7-12 7:02 pmJul 12,haram3,,,14 miles,798 ft
143,,2022-7-11 11:12 pmJul 11,Johris18,,,7 miles,529 ft
144,,2022-7-8 9:10 pmJul 8,Ltour,,,10 miles,631 ft
145,,2022-7-8 12:44 amJul 8,sudocrushms,,,4 miles,352 ft
146,,2022-7-7 11:01 pmJul 7,delacr0ix,,Gravel,7 miles,581 ft
147,,2022-7-7 10:58 pmJul 7,mnmtb LCA,,AM,5 miles,390 ft
148,,2022-7-7 10:51 pmJul 7,awood,,,10 miles,573 ft
149,,2022-7-6 10:14 pmJul 6,ErikMoe01,,,7 miles,416 ft
150,,2022-7-6 7:24 pmJul 6,tuckershreds,,,5 miles,413 ft
151,,2022-7-5 11:58 pmJul 5,delacr0ix,,Gravel,2 miles,194 ft
152,,2022-7-3 3:49 pmJul 3,CdS3hH3B,,,4 miles,354 ft
153,,2022-7-3 12:29 pmJul 3,KendallWelch,,AM,11 miles,688 ft
154,,2022-7-2 10:15 pmJul 2,mnmtb LCA,,AM,5 miles,215 ft
155,,2022-7-2 1:00 pmJul 2,gfedz,,,2 miles,135 ft
156,,2022-7-1 3:07 pmJul 1,gfedz,,,2 miles,158 ft
157,,2022-6-30 9:23 pmJun 30,gfedz,,,2 miles,111 ft
158,,2022-6-29 3:04 pmJun 29,Flusi,,,3 miles,264 ft
159,,2022-6-25 12:59 amJun 25,spikegundy,,XC,5 miles,399 ft
160,,2022-6-24 8:53 pmJun 24,LoveMyNiner,,,9 miles,549 ft
161,,2022-6-24 8:12 pmJun 24,sudocrushms,,,5 miles,446 ft
162,,2022-6-22 11:28 pmJun 22,Miahbike,,,8 miles,510 ft
163,,2022-6-22 9:27 pmJun 22,mnmtb LCA,,AM,2 miles,154 ft
164,,2022-6-18 3:04 pmJun 18,Brian39,,,8 miles,334 ft
165,,2022-6-17 10:54 pmJun 17,Johnsonseanm,,,3 miles,144 ft
166,,2022-6-17 9:12 pmJun 17,sudocrushms,,,13 miles,589 ft
167,,2022-6-17 5:54 pmJun 17,DavidetdWxL,,,6 miles,442 ft
168,,2022-6-14 10:05 pmJun 14,Bcieluch,,,9 miles,719 ft
169,,2022-6-13 12:11 amJun 13,mnmtb LCA,,AM,4 miles,220 ft
170,,2022-6-12 9:45 pmJun 12,MBK23VLX,,,12 miles,904 ft
171,,2022-6-12 6:49 pmJun 12,Sevo28,,,5 miles,354 ft
172,,2022-6-12 2:30 pmJun 12,Erik4rkunM,,,9 miles,661 ft
173,,2022-6-11 9:50 pmJun 11,sudocrushms,,,13 miles,419 ft
174,,2022-6-11 1:57 pmJun 11,6nT0r0,,,3 miles,147 ft
175,,2022-6-10 6:21 pmJun 10,wcchristian,,AM,5 miles,347 ft
176,,2022-6-9 8:40 pmJun 9,sudocrushms,,,11 miles,550 ft
177,,2022-6-8 3:46 pmJun 8,brad0383,,AM,6 miles,432 ft
178,,2022-6-7 12:01 pmJun 7,richardquay,,AM,5 miles,321 ft
179,,2022-6-6 11:03 pmJun 6,seanstahl,,,10 miles,792 ft
180,,2022-6-6 10:27 pmJun 6,delacr0ix,,Gravel,3 miles,267 ft
181,,2022-6-6 10:01 pmJun 6,mnmtb LCA,,AM,4 miles,268 ft
182,,2022-6-5 3:40 pmJun 5,Blunde,,,5 miles,336 ft
183,,2022-6-4 9:40 pmJun 4,ACarrell,,,7 miles,510 ft
184,,2022-6-4 8:16 pmJun 4,Ridgy76,,,4 miles,229 ft
185,,2022-6-4 6:19 pmJun 4,BikerTyGuy,,AM,6 miles,507 ft
186,,2022-6-4 3:42 pmJun 4,sudocrushms,,,17 miles,936 ft
187,,2022-6-4 3:34 pmJun 4,DanLUbws7,,,10 miles,712 ft
188,,2022-6-4 2:28 pmJun 4,violed23,,,7 miles,431 ft
189,,2022-6-4 12:55 pmJun 4,6nT0r0,,,3 miles,263 ft
190,,2022-6-3 7:52 pmJun 3,TheFigment,,,6 miles,466 ft
191,,2022-6-3 6:49 pmJun 3,mnmtb LCA,,AM,4 miles,197 ft
192,,2022-6-3 1:30 pmJun 3,Anexplosifloris,,,14 miles,"1,094 ft"
193,,2022-6-3 12:53 pmJun 3,6nT0r0,,,4 miles,217 ft
194,,2022-6-3 12:26 amJun 3,mikewaskosky,,,6 miles,406 ft
195,,2022-6-2 10:08 pmJun 2,sudocrushms,,,12 miles,392 ft
196,,2022-6-1 10:55 pmJun 1,Slombard,,AM,5 miles,402 ft
197,,2022-5-31 11:27 pmMay 31,sudocrushms,,,8 miles,642 ft
198,,2022-5-31 9:24 pmMay 31,sudocrushms,,,5 miles,385 ft
199,,2022-5-30 10:04 pmMay 30,grizzlyadam64,,,8 miles,598 ft
200,,2022-5-30 9:32 pmMay 30,LoveMyNiner,,,9 miles,325 ft
201,,2022-5-30 7:46 pmMay 30,sudocrushms,,,7 miles,515 ft
202,,2022-5-29 9:30 pmMay 29,delacr0ix,,Gravel,6 miles,433 ft
203,,2022-5-24 9:45 pmMay 24,MandrewMade,,,7 miles,607 ft
204,,2022-5-23 11:59 pmMay 23,awood,,,17 miles,731 ft
205,,2022-5-23 10:12 pmMay 23,Bcieluch,,,9 miles,762 ft
206,,2022-5-23 9:13 pmMay 23,NKGriffith,,,8 miles,628 ft
207,,2022-5-23 8:54 pmMay 23,sudocrushms,,,6 miles,359 ft
208,,2022-5-22 7:55 pmMay 22,brad0383,,AM,9 miles,657 ft
209,,2022-5-19 7:11 pmMay 19,sudocrushms,,,4 miles,351 ft
210,,2022-5-18 9:49 pmMay 18,mnmtb LCA,,AM,3 miles,195 ft
211,,2022-5-18 8:23 pmMay 18,sudocrushms,,,2 miles,225 ft
212,,2022-5-17 10:20 pmMay 17,Bcieluch,,,8 miles,659 ft
213,,2022-5-17 9:58 pmMay 17,LoveMyNiner,,,11 miles,378 ft
214,,2022-5-15 8:29 pmMay 15,sudocrushms,,,6 miles,192 ft
215,,2022-5-15 7:04 pmMay 15,L8xeoc,,,5 miles,461 ft
216,,2022-5-15 6:36 pmMay 15,Dodson,,,6 miles,251 ft
217,,2022-5-15 6:32 pmMay 15,drevlowa,,,4 miles,311 ft
218,,2022-5-14 7:05 pmMay 14,awood,,,8 miles,549 ft
219,,2022-5-14 6:42 pmMay 14,sudocrushms,,,12 miles,532 ft
