,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
279,,2022-4-29 8:44 pmApr 29,nt5k,,,5 miles,114 ft
280,,2022-4-29 8:36 pmApr 29,SavageCyclist,,,9 miles,151 ft
281,,2022-4-29 8:01 pmApr 29,voghan,,AM,7 miles,150 ft
282,,2022-4-28 9:55 pmApr 28,Brian39,,,6 miles,121 ft
283,,2022-4-28 9:53 pmApr 28,AdobeAwesome,,,6 miles,105 ft
284,,2022-4-28 4:44 pmApr 28,Sjcleve,,,5 miles,77 ft
285,,2022-4-27 11:07 pmApr 27,ACarrell,,,6 miles,130 ft
286,,2022-4-27 10:56 pmApr 27,MBK23VLX,,,8 miles,188 ft
287,,2022-4-27 10:06 pmApr 27,Brian39,,,6 miles,131 ft
288,,2022-4-27 9:54 pmApr 27,IvanR0s0h4,,,8 miles,186 ft
289,,2022-4-27 9:18 pmApr 27,tuckershreds,,,8 miles,185 ft
290,,2022-4-27 9:12 pmApr 27,Dodson,,,8 miles,118 ft
291,,2022-4-27 6:32 pmApr 27,CoryMecl,,,10 miles,244 ft
292,,2022-4-27 5:09 pmApr 27,Paulhill725,,,26 miles,992 ft
293,,2022-4-27 1:20 amApr 27,niemeyerm,,,7 miles,151 ft
294,,2022-4-26 11:10 pmApr 26,Sroehl,,,6 miles,150 ft
295,,2022-4-26 9:37 pmApr 26,Steinhagen,,,4 miles,98 ft
296,,2022-4-25 10:36 pmApr 25,Sjcleve,,,5 miles,102 ft
297,,2022-4-25 8:43 pmApr 25,dvst8ion,,,6 miles,129 ft
298,,2022-4-25 4:55 pmApr 25,IvanR0s0h4,,,6 miles,127 ft
299,,2022-4-24 10:59 pmApr 24,niemeyerm,,,10 miles,237 ft
300,,2022-4-24 10:04 pmApr 24,JordoDoesIt,,,6 miles,108 ft
301,,2022-4-24 9:16 pmApr 24,Fullsender416,,,9 miles,202 ft
302,,2022-4-24 8:45 pmApr 24,lQwsw,,,7 miles,181 ft
303,,2022-4-24 8:32 pmApr 24,2004Volvo,,,9 miles,179 ft
304,,2022-4-24 6:04 pmApr 24,lunchbox87,,,7 miles,144 ft
305,,2022-4-24 4:37 pmApr 24,RJamie,,,8 miles,126 ft
306,,2022-4-24 4:25 pmApr 24,alfotsch,,,8 miles,197 ft
307,,2022-4-24 4:00 pmApr 24,Ltour,,,8 miles,181 ft
308,,2022-4-24 3:15 pmApr 24,Maxwellbn,,Trials,6 miles,168 ft
309,,2022-4-24 2:15 pmApr 24,grizzlyadam64,,,10 miles,198 ft
310,,2022-4-24 2:09 pmApr 24,lemontort,,,6 miles,156 ft
311,,2022-4-24 2:00 pmApr 24,damonchrun,,,8 miles,187 ft
312,,2022-4-24 12:28 amApr 24,Talonzu,,,5 miles,102 ft
313,,2022-4-23 7:45 pmApr 23,Rpm1087,,,12 miles,276 ft
314,,2022-4-23 7:20 pmApr 23,mukkinaround,,AM,9 miles,200 ft
315,,2022-4-23 4:50 pmApr 23,rhowcow,,,10 miles,255 ft
316,,2022-4-22 11:20 pmApr 22,rAkvba,,,7 miles,142 ft
317,,2022-4-22 9:22 pmApr 22,Mkivisto,,AM,5 miles,127 ft
318,,2022-4-21 10:56 pmApr 21,RJamie,,,8 miles,141 ft
319,,2022-4-21 6:47 pmApr 21,CoachJeffSmith,,,9 miles,211 ft
320,,2022-4-19 9:17 pmApr 19,nklonne,,,20 miles,405 ft
321,,2022-4-11 4:36 pmApr 11,CoachJeffSmith,,,16 miles,283 ft
322,,2022-4-10 6:12 pmApr 10,Tscytron,,Fat,5 miles,48 ft
323,,2022-4-9 6:54 pmApr 9,nklonne,,,10 miles,186 ft
324,,2022-4-9 6:43 pmApr 9,CoachJeffSmith,,,10 miles,217 ft
325,,"2021-11-20 8:11 pmNov 20, 2021",phil0287,,AM,5 miles,84 ft
326,,"2021-10-26 10:08 pmOct 26, 2021",Hellfish67,,,12 miles,299 ft
327,,"2021-10-26 10:01 pmOct 26, 2021",Hellfish67,,,13 miles,266 ft
328,,"2021-9-6 3:39 pmSep 6, 2021",KevinFriasvjC,,AM,11 miles,229 ft
329,,"2021-8-28 7:09 pmAug 28, 2021",phil0287,,AM,6 miles,103 ft
