,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
103,,2022-10-16 1:01 pmOct 16,mattweier,,,38 miles,"3,642 ft"
104,,2022-10-15 11:50 pmOct 15,Kdavis1225,,,13 miles,678 ft
105,,2022-10-15 9:46 pmOct 15,anurag1987,,,11 miles,532 ft
106,,2022-10-15 9:40 pmOct 15,Mfriggens,,,5 miles,285 ft
107,,2022-10-15 9:07 pmOct 15,Briscoelab,,,10 miles,745 ft
108,,2022-10-15 8:13 pmOct 15,randomlad,,,9 miles,814 ft
109,,2022-10-15 8:13 pmOct 15,aweldum,,AM,11 miles,714 ft
110,,2022-10-15 8:01 pmOct 15,jordan200384,,,13 miles,"1,021 ft"
111,,2022-10-15 7:21 pmOct 15,GrantJohnson,,,7 miles,411 ft
112,,2022-10-15 7:03 pmOct 15,gopher07,,,33 miles,761 ft
113,,2022-10-15 6:59 pmOct 15,Sroehl,,,5 miles,346 ft
114,,2022-10-15 6:55 pmOct 15,ajzinnecker,,,10 miles,857 ft
115,,2022-10-15 5:24 pmOct 15,FQwwSR,,,6 miles,382 ft
116,,2022-10-15 4:58 pmOct 15,verbeke06,,,24 miles,"1,287 ft"
117,,2022-10-15 4:47 pmOct 15,Ltour,,,19 miles,"1,403 ft"
118,,2022-10-15 2:00 pmOct 15,Douglasawh,,Fat,65 miles,"2,021 ft"
119,,2022-10-14 5:50 pmOct 14,alfotsch,,,9 miles,643 ft
120,,2022-10-13 11:06 pmOct 13,maxellingson,,,11 miles,814 ft
121,,2022-10-13 10:58 pmOct 13,Pmars88,,,12 miles,659 ft
122,,2022-10-13 10:35 pmOct 13,pasdom1,,,24 miles,"1,288 ft"
123,,2022-10-13 10:34 pmOct 13,E30-4ME,,,8 miles,465 ft
124,,2022-10-13 10:14 pmOct 13,ryberglund,,,14 miles,894 ft
125,,2022-10-13 10:12 pmOct 13,benmogush,,,20 miles,"1,035 ft"
126,,2022-10-13 10:02 pmOct 13,Jfotsch,,,10 miles,816 ft
127,,2022-10-13 10:02 pmOct 13,paulwegner,,,19 miles,844 ft
128,,2022-10-13 9:57 pmOct 13,ddcheim,,,24 miles,966 ft
129,,2022-10-13 9:54 pmOct 13,ccengland,,,24 miles,810 ft
130,,2022-10-13 9:49 pmOct 13,ijp11,,,13 miles,"1,139 ft"
131,,2022-10-13 9:18 pmOct 13,Dayander,,,16 miles,873 ft
132,,2022-10-13 9:06 pmOct 13,Seyore,,,14 miles,746 ft
133,,2022-10-13 3:28 pmOct 13,ElliotZismerzL8,,,14 miles,890 ft
134,,2022-10-13 2:43 pmOct 13,cjammiller,,,15 miles,"1,356 ft"
135,,2022-10-12 11:30 pmOct 12,lunchbox87,,,20 miles,552 ft
136,,2022-10-12 10:23 pmOct 12,Dayander,,,13 miles,649 ft
137,,2022-10-12 11:17 amOct 12,Jendou1975,,XC,24 miles,473 ft
138,,2022-10-12 12:18 amOct 12 s,SullivanGrahamMlH,,,16 miles,799 ft
139,,2022-10-12 12:12 amOct 12 s,Kdavis1225,,,12 miles,596 ft
140,,2022-10-11 10:58 pmOct 11,haram3,,,4 miles,341 ft
141,,2022-10-11 10:47 pmOct 11,Smaich,,,7 miles,619 ft
142,,2022-10-11 10:42 pmOct 11,ijp11,,,3 miles,380 ft
143,,2022-10-11 10:23 pmOct 11,Silly1,,,14 miles,919 ft
144,,2022-10-11 10:15 pmOct 11 s,Rytoast,,,14 miles,"1,122 ft"
145,,2022-10-11 10:13 pmOct 11,Treeman12,,,9 miles,809 ft
146,,2022-10-11 10:10 pmOct 11 s,Bikejunky1,,,10 miles,573 ft
147,,2022-10-11 10:09 pmOct 11 s,Ericbiker,,AM,9 miles,779 ft
148,,2022-10-11 10:07 pmOct 11 s,Jbangen,,,10 miles,666 ft
149,,2022-10-11 10:05 pmOct 11 s,vitaliykondratyuk,,,10 miles,792 ft
150,,2022-10-11 9:56 pmOct 11,kerns-wj,,,27 miles,"1,051 ft"
151,,2022-10-11 9:33 pmOct 11,Rydevries,,,16 miles,"1,026 ft"
152,,2022-10-11 9:29 pmOct 11 s,ryberglund,,,14 miles,786 ft
153,,2022-10-11 9:22 pmOct 11 s,salbares,,,13 miles,"1,042 ft"
154,,2022-10-11 9:09 pmOct 11,Seyore,,,9 miles,684 ft
155,,2022-10-11 9:05 pmOct 11,Leex1659,,,22 miles,872 ft
156,,2022-10-11 7:43 pmOct 11,MarkgI74V,,,23 miles,961 ft
157,,2022-10-11 6:57 pmOct 11 s,zbordeau,,,15 miles,"1,308 ft"
158,,2022-10-10 10:56 pmOct 10,Adcollier,,,3 miles,178 ft
159,,2022-10-10 10:28 pmOct 10,Welcome124,,,11 miles,644 ft
160,,2022-10-10 10:27 pmOct 10,MBTodd,,,14 miles,628 ft
161,,2022-10-10 10:23 pmOct 10 s,benmogush,,,21 miles,763 ft
162,,2022-10-10 9:51 pmOct 10,ccengland,,,20 miles,573 ft
163,,2022-10-10 9:41 pmOct 10,pasdom1,,,26 miles,"1,299 ft"
164,,2022-10-10 9:41 pmOct 10,Eddie427,,,6 miles,434 ft
165,,2022-10-10 8:06 pmOct 10 s,Lostinolaf,,,11 miles,881 ft
166,,2022-10-10 7:55 pmOct 10,Dayander,,,15 miles,965 ft
167,,2022-10-10 6:51 pmOct 10 s,DavidetdWxL,,,8 miles,649 ft
168,,2022-10-10 3:04 pmOct 10 s,hicksdrums,,,8 miles,467 ft
169,,2022-10-10 2:54 pmOct 10 s,WAB,,,45 miles,"2,026 ft"
170,,2022-10-9 8:57 pmOct 9,Sroehl,,,8 miles,578 ft
171,,2022-10-9 8:55 pmOct 9,bricollins,,,6 miles,544 ft
172,,2022-10-9 8:08 pmOct 9,Meier,,XC,19 miles,631 ft
173,,2022-10-9 7:55 pmOct 9,Dayander,,,20 miles,"1,317 ft"
174,,2022-10-9 7:54 pmOct 9,uber419,,,27 miles,"1,515 ft"
175,,2022-10-9 7:12 pmOct 9 s,smitod,,,14 miles,"1,196 ft"
176,,2022-10-9 6:37 pmOct 9,bonkmtb,,,13 miles,860 ft
177,,2022-10-9 5:32 pmOct 9,cullub,,,13 miles,"1,092 ft"
