title,difficulty,region_title,distance,dst_climb,dst_descent,dst_flat,total_miles,descent_miles,ascent_miles,flat_miles
SW Loop,Blue,Theodore Wirth Park,"8,363","3,228","3,694","1,437",1.5839020220000002,0.699621436,0.611363832,0.272159178
SW Loop Access,Blue,Theodore Wirth Park,450,258,0,192,0.0852273,0.0,0.048863652,0.036363648
The Quarry,Blue,Theodore Wirth Park,"1,894",845,554,496,0.358712236,0.10492427600000001,0.16003793,0.09393942400000001
The Tube,Black Diamond,Theodore Wirth Park,962,241,582,139,0.182197028,0.11022730800000001,0.045643954,0.026325766
Theo North Expert,Black Diamond,Theodore Wirth Park,"1,115",431,605,79,0.21117431,0.11458337,0.08162881400000001,0.014962126000000001
Theo North Loop,Blue,Theodore Wirth Park,"11,742","4,665","4,097","2,979",2.223864348,0.775947218,0.88352301,0.564204726
Theo North Option,Black Diamond,Theodore Wirth Park,324,0,163,161,0.061363656,0.030871222,0.0,0.030492434000000002
Wirth Parkway Bike Path,Secondary Access Road/Trail,Theodore Wirth Park,"13,222","6,581","5,516","1,125",2.5041674680000003,1.044697304,1.246401914,0.21306825000000001
Access to Xcel Trailhead,Access Trail or Doubletrack,Xcel Energy Mountain Bike Park,"1,909",302,0,433,0.361553146,0.0,0.057196988000000004,0.082007602
Advanced Connector to Intermediate or Lake Trail,Blue,Xcel Energy Mountain Bike Park,213,0,0,0,0.040340922,0.0,0.0,0.0
Beginner Loop,Green,Xcel Energy Mountain Bike Park,"3,671",417,505,"2,680",0.695265374,0.09564397000000001,0.078977298,0.5075759200000001
Easy Connector to Intermediate or Lake Trails,Green,Xcel Energy Mountain Bike Park,49,0,0,0,0.009280306,0.0,0.0,0.0
Flat Prairie Loop,Green,Xcel Energy Mountain Bike Park,"1,306",105,151,991,0.24734856400000002,0.028598494000000002,0.01988637,0.187689454
Intermediate Loop,Blue,Xcel Energy Mountain Bike Park,"6,220",938,"1,079","4,154",1.17803068,0.204356126,0.177651572,0.786742676
Jump Line Ride Around,Blue,Xcel Energy Mountain Bike Park,236,0,0,0,0.044696984,0.0,0.0,0.0
Lake Trail,Green,Xcel Energy Mountain Bike Park,"7,434",896,"1,335","4,944",1.4079549960000002,0.25284099,0.169697024,0.936363936
