,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
166,,2022-9-6 7:21 pmSep 6,petergrasse,,Fat,41 miles,"1,016 ft"
167,,2022-9-5 8:26 pmSep 5,petergrasse,,Fat,27 miles,725 ft
168,,2022-9-5 4:35 pmSep 5,Bjcreagh,,,17 miles,"2,612 ft"
169,,2022-9-5 4:02 pmSep 5,Chainslapjacks,,,8 miles,"1,154 ft"
170,,2022-9-5 3:45 pmSep 5,clars100,,,9 miles,"1,548 ft"
171,,2022-9-4 10:37 pmSep 4 s,KendallWelch,,AM,8 miles,"1,200 ft"
172,,2022-9-4 7:50 pmSep 4,kmb88422,,,15 miles,"1,579 ft"
173,,2022-9-4 7:05 pmSep 4,rAkvba,,,4 miles,528 ft
174,,2022-9-4 6:07 pmSep 4,c-bskt,,,9 miles,"1,432 ft"
175,,2022-9-4 5:08 pmSep 4,markweyandt,,,1 mile,207 ft
176,,2022-9-4 4:59 pmSep 4,Jthone,,,9 miles,"1,235 ft"
177,,2022-9-4 3:04 pmSep 4,Mpearce,,,47 miles,"2,038 ft"
178,,2022-9-4 2:21 pmSep 4,UncleFester98,,AM,54 miles,"2,687 ft"
179,,2022-9-3 11:30 pmSep 3,KendallWelch,,AM,9 miles,"1,196 ft"
180,,2022-9-3 9:47 pmSep 3 s,HMTB763,,,16 miles,"1,122 ft"
181,,2022-9-3 3:02 pmSep 3,voghan,,AM,9 miles,"1,359 ft"
182,,2022-9-3 1:59 pmSep 3,RiverMonster37,,,21 miles,"2,317 ft"
183,,2022-9-3 1:45 pmSep 3,ChristopheriQubte,,,11 miles,"1,563 ft"
184,,2022-9-3 12:16 amSep 3 s,Pablo4130,,,3 miles,391 ft
185,,2022-9-2 9:16 pmSep 2,TimothyAbbott,,,3 miles,302 ft
186,,2022-9-2 7:59 pmSep 2,dylancmiller,,,8 miles,"1,350 ft"
187,,2022-9-2 5:38 pmSep 2,zildjian-graham,,,13 miles,"2,326 ft"
188,,2022-9-2 3:53 pmSep 2,zildjian-graham,,,10 miles,"1,376 ft"
189,,2022-9-1 11:34 pmSep 1,KendallWelch,,AM,5 miles,767 ft
190,,2022-9-1 11:23 pmSep 1,fango925,,,14 miles,"2,334 ft"
191,,2022-9-1 9:05 pmSep 1,ChristopheriQubte,,,9 miles,"1,306 ft"
192,,2022-9-1 4:00 pmSep 1,caad4rep,,,15 miles,"2,167 ft"
193,,2022-9-1 1:50 amSep 1,grantbob94,,AM,15 miles,"1,430 ft"
194,,2022-8-31 11:37 pmAug 31,zildjian-graham,,,6 miles,979 ft
195,,2022-8-31 9:38 pmAug 31,bigpimpin1,,,8 miles,"1,246 ft"
196,,2022-8-31 5:38 pmAug 31,JFDI,,,10 miles,"1,295 ft"
197,,2022-8-31 2:46 pmAug 31,ChristopheriQubte,,,12 miles,"1,711 ft"
198,,2022-8-30 11:58 pmAug 30,Gwg02210,,,5 miles,718 ft
199,,2022-8-30 11:57 pmAug 30,minnesotashred,,,4 miles,581 ft
200,,2022-8-30 3:28 pmAug 30,bonkmtb,,,1 mile,256 ft
201,,2022-8-30 1:36 pmAug 30,Georam0817,,,7 miles,892 ft
202,,2022-8-30 11:41 amAug 30,Daray,,,10 miles,"1,531 ft"
203,,2022-8-29 10:28 pmAug 29,ijp11,,,9 miles,"1,783 ft"
204,,2022-8-29 8:46 pmAug 29,tothemtn,,,10 miles,"1,354 ft"
205,,2022-8-29 8:17 pmAug 29,XploringDave,,,22 miles,"3,148 ft"
206,,2022-8-29 7:56 pmAug 29,petergrasse,,Fat,27 miles,677 ft
207,,2022-8-28 9:06 pmAug 28 s,Lostinolaf,,,11 miles,"1,356 ft"
208,,2022-8-28 8:27 pmAug 28,smitod,,,11 miles,"1,613 ft"
209,,2022-8-27 10:43 pmAug 27,Kenne17,,,7 miles,614 ft
210,,2022-8-27 7:44 pmAug 27,KendallWelch,,AM,5 miles,609 ft
211,,2022-8-27 4:29 pmAug 27,UncleFester98,,AM,49 miles,"2,274 ft"
212,,2022-8-27 1:40 pmAug 27,Farmtrav,,XC,3 miles,387 ft
213,,2022-8-27 12:43 pmAug 27,Farmtrav,,,12 miles,913 ft
214,,2022-8-27 12:43 amAug 27,Pablo4130,,,4 miles,537 ft
215,,2022-8-26 6:30 pmAug 26 s,dcanales,,,14 miles,"2,039 ft"
216,,2022-8-26 1:45 pmAug 26 s,Beancounter7791,,,10 miles,"1,492 ft"
217,,2022-8-26 12:52 amAug 26,SullivanGrahamMlH,,,8 miles,"1,004 ft"
218,,2022-8-25 11:56 pmAug 25,Hooten,,AM,14 miles,"2,239 ft"
219,,2022-8-25 9:03 pmAug 25 s,Cman36,,,12 miles,"2,039 ft"
220,,2022-8-24 11:11 pmAug 24,kenn0065,,,7 miles,788 ft
221,,2022-8-24 11:06 pmAug 24,MaxHendrickson,,,7 miles,"1,127 ft"
222,,2022-8-24 11:01 pmAug 24,Krblaser,,,9 miles,"1,308 ft"
223,,2022-8-24 10:04 pmAug 24,drevlowa,,,9 miles,"1,195 ft"
224,,2022-8-24 10:03 pmAug 24,SNK922,,,10 miles,"1,472 ft"
225,,2022-8-24 9:58 pmAug 24,Jafuschetto,,,8 miles,"1,158 ft"
226,,2022-8-24 3:45 pmAug 24,jdoubles,,,14 miles,823 ft
227,,2022-8-23 11:45 pmAug 23,svenjaminn,,,6 miles,909 ft
228,,2022-8-23 11:35 pmAug 23,dvlieger,,,6 miles,969 ft
229,,2022-8-23 11:06 pmAug 23,douglasallanmn,,,5 miles,708 ft
230,,2022-8-23 6:33 pmAug 23,DavidetdWxL,,,10 miles,"1,457 ft"
231,,2022-8-23 2:28 pmAug 23,ChristopheriQubte,,,13 miles,"1,852 ft"
232,,2022-8-22 11:19 pmAug 22,fango925,,,14 miles,"2,421 ft"
233,,2022-8-22 11:28 amAug 22,Daray,,,9 miles,"1,360 ft"
234,,2022-8-22 12:47 amAug 22 s,Pablo4130,,,2 miles,242 ft
235,,2022-8-21 10:33 pmAug 21,smitod,,,11 miles,"1,645 ft"
236,,2022-8-21 7:15 pmAug 21,Anexplosifloris,,,11 miles,"1,711 ft"
237,,2022-8-21 3:05 pmAug 21,DavidFeldt,,,9 miles,"1,439 ft"
238,,2022-8-21 2:52 pmAug 21,mkrook,,,4 miles,623 ft
239,,2022-8-21 2:25 pmAug 21,voghan,,AM,10 miles,"1,624 ft"
240,,2022-8-21 1:31 pmAug 21,HMTB763,,,6 miles,791 ft
241,,2022-8-21 1:19 pmAug 21,ChristopheriQubte,,,11 miles,"1,638 ft"
242,,2022-8-21 1:14 pmAug 21,Jeder,,,8 miles,"1,094 ft"
243,,2022-8-20 9:23 pmAug 20,Er0breich,,,9 miles,"1,401 ft"
244,,2022-8-20 8:45 pmAug 20,KendallWelch,,AM,4 miles,629 ft
245,,2022-8-20 8:44 pmAug 20,minnesotashred,,,5 miles,726 ft
246,,2022-8-20 6:57 pmAug 20,bonkmtb,,,8 miles,"1,240 ft"
247,,2022-8-20 5:04 pmAug 20,Dayander,,,8 miles,"1,422 ft"
248,,2022-8-20 4:53 pmAug 20,drew-bear,,,4 miles,960 ft
249,,2022-8-20 4:06 pmAug 20,Angbonn,,,5 miles,740 ft
250,,2022-8-20 2:45 pmAug 20,ddcheim,,,8 miles,"1,277 ft"
251,,2022-8-20 2:45 pmAug 20,paulwegner,,,9 miles,"1,339 ft"
252,,2022-8-20 2:36 pmAug 20,Zqb8bS,,,4 miles,645 ft
253,,2022-8-20 2:19 pmAug 20,ChristopheriQubte,,,9 miles,"1,367 ft"
254,,2022-8-18 10:43 pmAug 18,mtbtobymn,,,9 miles,"1,236 ft"
255,,2022-8-18 10:32 pmAug 18,Hellfish67,,,9 miles,"1,334 ft"
256,,2022-8-18 10:31 pmAug 18,Mnjoe,,,7 miles,846 ft
257,,2022-8-18 8:55 pmAug 18,jakewhistles,,,10 miles,"1,531 ft"
258,,2022-8-17 7:15 pmAug 17,Keilefson,,XC,4 miles,612 ft
259,,2022-8-17 4:43 pmAug 17,mboneill1433,,,11 miles,741 ft
260,,2022-8-17 4:14 pmAug 17,Gremoe,,,10 miles,"1,535 ft"
261,,2022-8-17 11:24 amAug 17,petergrasse,,Fat,36 miles,948 ft
262,,2022-8-17 12:25 amAug 17,Squirrelfriend,,AM,8 miles,"1,056 ft"
263,,2022-8-16 11:52 pmAug 16,minnesotashred,,,7 miles,"1,069 ft"
264,,2022-8-16 11:31 pmAug 16,Tboned29,,,7 miles,"1,039 ft"
265,,2022-8-16 11:06 pmAug 16,SandbarMTB,,,4 miles,485 ft
266,,2022-8-16 11:03 pmAug 16,fango925,,,15 miles,"2,311 ft"
267,,2022-8-16 9:28 pmAug 16,MaxHendrickson,,,8 miles,"1,179 ft"
268,,2022-8-16 2:15 pmAug 16,UncleFester98,,AM,60 miles,"2,932 ft"
269,,2022-8-15 10:51 pmAug 15,Scotthowe,,,10 miles,"1,585 ft"
270,,2022-8-15 9:34 pmAug 15,marcoaml78,,XC,17 miles,"1,533 ft"
271,,2022-8-15 8:18 pmAug 15,petergrasse,,Fat,30 miles,759 ft
272,,2022-8-14 10:03 pmAug 14,minnesotashred,,,5 miles,716 ft
273,,2022-8-14 7:02 pmAug 14,FullFisted,,,9 miles,"1,430 ft"
274,,2022-8-14 4:10 pmAug 14,clars100,,,10 miles,"1,540 ft"
275,,2022-8-14 1:10 pmAug 14,Scotthowe,,,11 miles,"1,638 ft"
276,,2022-8-14 12:56 pmAug 14,Joeymga6,,,9 miles,"1,343 ft"
277,,2022-8-14 2:56 pmAug 14,grantbob94,,AM,11 miles,664 ft
278,,2022-8-13 11:21 pmAug 13 s,KevinFriasvjC,,XC,7 miles,992 ft
279,,2022-8-13 10:29 pmAug 13 s,minnesotashred,,,7 miles,"1,054 ft"
280,,2022-8-13 9:36 pmAug 13,shawn1140,,,5 miles,733 ft
281,,2022-8-13 8:46 pmAug 13,RocketRayLCR,,,47 miles,"2,877 ft"
282,,2022-8-13 7:32 pmAug 13,Jthone,,,9 miles,"1,208 ft"
283,,2022-8-13 6:22 pmAug 13,Dayander,,,9 miles,"1,640 ft"
284,,2022-8-13 5:20 pmAug 13,eberniard,,,22 miles,"2,158 ft"
285,,2022-8-13 4:12 pmAug 13,MaxHendrickson,,,11 miles,"1,742 ft"
286,,2022-8-13 3:50 pmAug 13 s,Pablo4130,,,5 miles,497 ft
287,,2022-8-13 3:17 pmAug 13,cascadebiker22,,,53 miles,"1,779 ft"
288,,2022-8-13 3:08 pmAug 13,maxellingson,,,18 miles,"2,996 ft"
